review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_07,236111,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_13,235383,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,BAP_FS_BODY,233504,其他,11,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,BAP_FS_HEADER,233504,其他,15,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ST_TRANSATTACHRECORD,232298,其他,32,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_06,230918,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_ASYNC_RESULT,230854,其他,10,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_12,228868,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_11,226992,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ST_TRANSATTACHRECORD_B,223805,其他,11,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_10,223412,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,EBANK_YQLYLOGS,217305,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,AP_PAYITEM,214278,其他,165,true,0,?????????????165??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,CMP_DETAIL,212453,其他,161,true,0,?????????????161??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_14,204163,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SM_PUB_FILESYSTEM,202846,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PO_ORDER_B,201581,其他,192,true,0,?????????????192??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PO_ORDER_B_EC,195310,其他,13,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,CMP_BANKACCDETAIL,190123,其他,82,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PO_ORDER_BB,187638,其他,103,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_MONTH_RECORDSIGN,186771,其他,50,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_SUPPLY,185989,其他,38,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SYS_EXPORT_SCHEMA_09,185517,其他,100,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,MD_PROPERTY,182187,其他,40,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,CMP_PAYMENT,181094,其他,25,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,MD_ORMAP,174355,其他,6,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,DC_PATIENTCHARGE_B,170765,其他,35,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_FLOW20230427,164892,其他,165,false,0,?????????????165??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,MD_COLUMN,162006,其他,28,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_PRINTLOG,149896,其他,7,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_DEPGATHER_B,147110,其他,32,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_PRINTNUMBER,145442,其他,18,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_QUERY_CONDITION,132356,其他,47,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WORKINGTASKLOG,129199,其他,14,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,EBANK_DBLOCK,124022,其他,4,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_VOCHANGE_B,120380,其他,7,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_FLOW20230318,115215,其他,165,false,0,?????????????165??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_CARD20240229,112681,其他,77,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_CARDSUB_BAT,112143,其他,83,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_WHSTRANS_H,111309,其他,58,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_CARD20230615,110995,其他,76,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALOUT_H,110648,其他,60,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,EBANK_PALOG,108766,其他,20,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_GENERALNAB,101754,其他,18,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,DICO_DICOSTRELATION,100277,其他,25,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,COPRO_INCOMEDETAIL,100188,其他,35,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IUFO_MEASURE_DATA_6M10VUQA,50,其他,358,true,0,????????358??,,,
