schema,table,domain,classify_reason,referenced_by_ods_view_count,referenced_by_ods_views,row_count_stats,column_count,comment
HIS,INP_BILL_DETAIL20260324,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,2835,74,
HIS,PH_SS,未分类,no_rule,0,,0,5,
HIS,复杂模拟定位,未分类,no_rule,0,,0,70,
HIS,CA_LOGIN_INFO,未分类,no_rule,0,,0,8,CA登录信息表
HIS,SYS_ROLE,未分类,no_rule,0,,0,10,角色
HIS,SYS_ROLE_PERMISSION,未分类,no_rule,0,,0,10,角色权限表
HIS,EXAM_RPT_PATTERN,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,1207,12,检查报告模版
HIS,OCCUPATION_DICT,病案首页,ods_view_context:V_EMR_ICH/INPUT_CASE_FIRP,5,CDR_MEDICAL|CDR_OUTPATIENT_VISIT|CDR_PATIENT_INFO|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OUTPUT_SUMMARY,13,10,职业分类字典
HIS,STAFF_GROUP_CLASS_DICT,人员,name_pattern:STAFF/EMP/DOCTOR/NURSE/USER,0,,15,2,工作组类字典
HIS,EXAM_CLASS_DICT,检查/影像,name_pattern:EXAM/PACS/IMAGE/REPORT,0,,23,13,检查类别字典
HIS,BED_REC,科室/组织,name_pattern:DEPT/WARD/BED/ROOM,0,,5163,18,床位记录
HIS,PATS_IN_TRANSFERRING,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,55,7,转科病人记录
HIS,INSUR_CATALOG_NEW,未分类,no_rule,0,,6123,3,
HIS,MED_DICT_FACTORY,字典,name_pattern:DICT/CODE/MAP,0,,1618,48,药品字典厂商
HIS,MED_DICT_BASEINFO,医嘱,ods_view_context:ORDER/DOC_ORDER/ZYYZ,3,V_EMR_DOC_ORDER_DRUG|V_EMR_OUTPATIENT_RECIPE_BAK|V_EMR_OUTPATIENT_RECIPE_ITEM,6037,102,药品目录表
HIS,MR_BILL_COSTS,病案首页,ods_view_context:V_EMR_ICH/INPUT_CASE_FIRP,1,V_EMR_ICH_CHARGE,6742587,5,2011版病案首页住院病人费用记录
HIS,INP_SETTLE_MASTER,住院费用,curated_exact,1,V_EMR_IN_FEE_INFO_MAIN,622182,20,住院病人结算主记录
HIS,DIAGNOSIS_JH,诊断,name_pattern:DIAG,0,,176113,6,
HIS,MR_BILL_CLASS_DICT,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,31,12,2011版病案首页费用分类字典
HIS,COUNTRY_DICT,病案首页,ods_view_context:V_EMR_ICH/INPUT_CASE_FIRP,3,CDR_MEDICAL|CDR_PATIENT_INFO|V_ESBHL_INPUT_CASE_FIRP,41,10,国家及地区字典
HIS,EXAM_SUBCLASS_DICT,检查/影像,name_pattern:EXAM/PACS/IMAGE/REPORT,0,,81,9,检查子类字典
HIS,PATIENT_STATUS_CHG_DICT,患者/就诊,name_pattern:PAT/VISIT/INP_NO/CLINIC,0,,16,4,病人状态变化字典
HIS,MED_DICT_PRICE,费用,name_pattern:BILL/FEE/CHARGE/PRICE/COST/PAY/SETTLE/RCPT,0,,8486,47,药品产地价格表
