system_code,source_code,schema_name,table_name,object_type,comment,column_count,pk,documented
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_med_rep_fill_master,TABLE,上报卡管理-配置类-上报卡模板中自动填充数据定制SQL语句,3,"mr_code,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_monitor_patient_order,TABLE,患者信息-作废类-患者医嘱信息表,12,"order_sub_no,order_no,order_code,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_monitor_vs_clinic,TABLE,未知类-患者医嘱相关,6,"clinic_item_code,monitor_order_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_mr_borrow,TABLE,病案借阅-业务类-病案借阅信息表,20,"apply_date,borrow_dept,borrow_doctor_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_mr_copy,TABLE,复印管理-业务类-病案复印按类别记录功能,8,"set_id,patient_id,visit_id,mr_class",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_mr_setvip_log,TABLE,敏感病历-业务类-设置保密操作日志表,9,"id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_mr_vip_apply,TABLE,敏感病历-业务类-保密病例申请表,15,"patient_id,visit_id,apply_date_time,apply_user_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_button_form_config,TABLE,临床护理-配置类-出入量总结个性化配置,7,"button_name,mr_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_ca_index,TABLE,临床护理-业务类-护理记录ca签名数据表,19,"serial_no,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_catalog_dict,TABLE,临床护理-字典类-护士目录字典,19,"catalog_code,mr_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_elem_dict,TABLE,临床护理-配置类-护理记录打印项目配置表,26,"mr_code_print,elem_no,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_elem_sum_config,TABLE,临床护理-配置类-出入量总结配置表,23,"button_name,mr_code,hospital_no,elem_name,date_time",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_emrfile_elem,TABLE,老版护理-业务类-护理病历内容记录表,18,"time_point,recording_date,elem_no,file_no,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_emrfile_elem_log,TABLE,临床护理-日志类-护理记录修改日志表,11,"update_date,elem_name,file_no,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_emrfile_index,TABLE,老版护理-业务类-护理病历文件索引表,52,"file_no,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_monitor_item_dict,TABLE,临床护理-字典类-护理要提醒项目列表,5,"item_code,item_name",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_monitor_temp_dict,TABLE,临床护理-字典类-体征项目字典,5,"item_code,item_name,monitor_times,time_point",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_special_content,TABLE,临床护理-业务类-导管观察数据表,10,"in_time,content_id,item_name,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_to_vital_signs_rec,TABLE,临床护理-配置类-护理记录写回体温单项目配置表,7,"mr_code,vital_signs,units,vital_signs_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_nurse_to_vital_time,TABLE,临床护理-配置类-护理记录写回体温单时界面和数据库显示时间配置,2,"time_in_form,time_in_db",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_online_monitor,TABLE,质控管理-业务类-在线质控明细表（时限、次数）,23,"monitor_no,item_code,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_online_monitor_history,TABLE,质控管理-业务类-离线质控明细 归档后迁移到此表,25,"monitor_no,item_code,visit_id,patient_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_operation_maintain_config,TABLE,病案首页-配置类-个性化手术维护窗体配置表,14,control_name,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_pad_input_dict,TABLE,病历书写-,8,serial_no,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_pad_interface,TABLE,病历写书-,6,"element_code,hospital_no",True
